Date,RSI
2000-01-21,50.90090090090089
2000-01-24,50.49954586739329
2000-01-25,56.17897727272727
2000-01-26,57.73972602739726
2000-01-27,50.199600798403196
2000-01-28,-3.731343283582092
2000-01-31,19.037765131919286
2000-02-01,51.785714285714285
2000-02-02,52.58386219401632
2000-02-03,54.21010425020047
2000-02-04,53.06479859894922
2000-02-07,53.74376039933445
2000-02-08,50.507099391480736
2000-02-09,50.40816326530612
2000-02-10,59.39306358381502
2000-02-11,54.7970479704797
2000-02-14,58.33333333333333
2000-02-15,60.58091286307054
2000-02-16,64.0151515151515
2000-02-17,63.60655737704918
2000-02-18,58.239277652370205
2000-02-22,58.62068965517242
2000-02-23,59.62264150943396
2000-02-24,57.20524017467248
2000-02-25,61.0608020698577
2000-02-28,59.70548862115127
2000-02-29,61.46146146146146
2000-03-01,58.73959571938169
2000-03-02,58.443113772455085
2000-03-03,59.98052580331061
2000-03-06,60.687732342007436
2000-03-07,60.281690140845065
2000-03-08,61.94444444444444
2000-03-09,63.29196603527106
2000-03-10,62.25120109814688
2000-03-13,60.19496344435419
2000-03-14,59.86895986895987
2000-03-15,57.2562358276644
2000-03-16,59.92544268406338
2000-03-17,55.78673602080624
2000-03-20,56.74300254452926
2000-03-21,60.18808777429467
2000-03-22,58.98389095415118
2000-03-23,59.8233995584989
2000-03-24,60.432432432432435
2000-03-27,57.07154742096506
2000-03-28,53.875236294896034
2000-03-29,51.39442231075698
2000-03-30,48.47870182555781
2000-03-31,51.68316831683168
2000-04-03,40.94827586206896
2000-04-04,16.19718309859155
2000-04-05,41.25874125874126
2000-04-06,55.46218487394958
2000-04-07,57.26375176304654
2000-04-10,42.82982791586998
2000-04-11,9.285714285714292
2000-04-12,-3.194888178913743
2000-04-13,-13.665594855305471
2000-04-14,-27.725437415881558
2000-04-17,28.91428571428571
2000-04-18,50.44843049327354
2000-04-19,41.06382978723405
2000-04-20,35.16819571865443
2000-04-24,41.53225806451612
2000-04-25,43.582089552238806
2000-04-26,25.903614457831324
2000-04-27,26.42642642642643
2000-04-28,43.640124095139605
2000-05-01,51.92107995846314
2000-05-02,53.74625374625374
2000-05-03,53.13765182186235
2000-05-04,58.43806104129264
2000-05-05,52.476780185758514
2000-05-08,22.959183673469383
2000-05-09,38.24091778202677
2000-05-10,35.647279549718576
2000-05-11,49.742710120068615
2000-05-12,44.12811387900356
2000-05-15,55.445544554455445
2000-05-16,52.650176678445234
2000-05-17,41.25
2000-05-18,21.505376344086017
2000-05-19,17.708333333333343
2000-05-22,16.89655172413792
2000-05-23,6.269592476489024
2000-05-24,1.6051364365971068
2000-05-25,25.938566552901023
2000-05-26,29.66101694915254
2000-05-30,56.2130177514793
2000-05-31,47.98657718120805
2000-06-01,53.77720870678617
2000-06-02,53.368560105680324
2000-06-05,52.03488372093023
2000-06-06,46.01769911504425
2000-06-07,56.41618497109826
2000-06-08,59.59104186952288
2000-06-09,61.038961038961034
2000-06-12,62.73291925465839
2000-06-13,62.64732547597461
2000-06-14,60.52356020942408
2000-06-15,61.31386861313869
2000-06-16,58.2995951417004
2000-06-19,61.57786885245902
2000-06-20,59.471206084751906
2000-06-21,58.19112627986348
2000-06-22,50.94736842105264
2000-06-23,53.86138613861386
2000-06-26,54.15860735009671
2000-06-27,49.25
2000-06-28,50.48309178743961
2000-06-29,50.60240963855422
2000-06-30,53.696498054474716
2000-07-03,51.91919191919191
2000-07-05,3.6053130929791166
2000-07-06,23.68421052631578
2000-07-07,2.1653543307086665
2000-07-10,-3.4563288183092027
2000-07-11,-9.252669039145914
2000-07-12,18.857142857142847
2000-07-13,32.35294117647058
2000-07-14,16.129032258064512
2000-07-17,17.903930131004373
2000-07-18,6.06694560669456
2000-07-19,12.16814159292035
2000-07-20,19.745222929936304
2000-07-21,24.778761061946895
2000-07-24,55.131264916467785
2000-07-25,50.97402597402597
2000-07-26,52.10843373493976
2000-07-27,52.252252252252255
2000-07-28,50.15673981191222
2000-07-31,51.17647058823529
2000-08-01,31.47058823529413
2000-08-02,28.443113772455092
2000-08-03,52.359550561797754
2000-08-04,58.753709198813056
2000-08-07,59.33908045977011
2000-08-08,57.22222222222223
2000-08-09,58.5278276481149
2000-08-10,57.4585635359116
2000-08-11,57.509157509157504
2000-08-14,57.89473684210526
2000-08-15,58.54922279792746
2000-08-16,61.352657004830924
2000-08-17,61.32686084142395
2000-08-18,60.755336617405575
2000-08-21,61.51645207439199
2000-08-22,59.6078431372549
2000-08-23,53.48837209302325
2000-08-24,56.03217158176944
2000-08-25,54.08805031446541
2000-08-28,59.64125560538117
2000-08-29,61.94174757281553
2000-08-30,61.68032786885246
2000-08-31,62.29802513464991
2000-09-01,63.8719512195122
2000-09-05,62.50000000000001
2000-09-06,59.023354564755834
2000-09-07,63.03630363036304
2000-09-08,56.10859728506787
2000-09-11,49.20634920634921
2000-09-12,30.555555555555557
2000-09-13,34.38914027149322
2000-09-14,50.49900199600799
2000-09-15,14.031971580817043
2000-09-18,3.035559410234171
2000-09-19,15.065146579804562
2000-09-20,4.5611015490533475
2000-09-21,-7.631578947368425
2000-09-22,6.797385620915037
2000-09-25,6.287944492627929
2000-09-26,-0.6738544474393535
2000-09-27,17.21144024514811
2000-09-28,39.924771628156904
2000-09-29,46.62162162162163
2000-10-02,31.851851851851848
2000-10-03,-23.658051689860827
2000-10-04,-8.353221957040574
2000-10-05,0.1273885350318409
2000-10-06,-28.351955307262557
2000-10-09,-37.43093922651934
2000-10-10,-40.39473684210526
2000-10-11,-63.96917148362232
2000-10-12,-52.300405953991884
